Temperature,Humidity,WindSpeed,LightIntensity,FlowerDensity,PollenAvailability,Region,TimeOfDay,PollinatorActivity
40.0,55.24,13.59,1089.89,30.81,24.1,Urban,Morning,High
31.13,58.28,0.9,580.2,20.69,26.05,Rural,Afternoon,High
23.71,48.31,9.12,112.25,63.09,32.0,Forest,Evening,Low
22.65,51.99,11.68,582.61,67.96,15.73,Rural,Evening,Low
30.41,60.51,11.09,409.98,64.91,28.69,Rural,Evening,Medium
26.88,70.61,4.85,615.64,53.1,27.68,Forest,Morning,Medium
31.57,25.67,22.57,622.27,65.34,23.15,Forest,Morning,High
30.37,49.47,1.61,1059.23,64.27,15.72,Rural,Morning,High
27.64,58.21,2.58,908.59,65.75,30.95,Forest,Evening,Medium
23.77,41.23,9.17,778.98,32.81,32.03,Forest,Evening,Medium
20.43,80.97,18.58,699.12,28.06,26.14,Rural,Morning,Medium
25.77,45.47,3.82,382.34,42.23,14.3,Urban,Evening,Low
32.28,54.38,6.67,100.0,49.65,19.73,Rural,Evening,Low
29.07,63.34,13.39,733.95,45.16,24.4,Rural,Evening,Low
21.77,46.13,7.91,938.39,12.47,31.88,Urban,Morning,Medium
28.87,27.3,6.33,667.5,84.43,9.17,Rural,Afternoon,High
29.93,48.57,10.83,539.54,44.52,19.36,Rural,Afternoon,Medium
23.58,70.44,9.36,839.35,53.45,20.97,Forest,Afternoon,Medium
28.77,49.95,13.15,675.0,74.89,24.17,Rural,Morning,Medium
28.29,42.3,14.46,1200.0,10.0,11.99,Urban,Evening,Low
22.29,68.89,9.54,1069.82,39.77,22.82,Urban,Afternoon,Medium
29.79,50.04,9.46,987.85,42.26,21.9,Forest,Afternoon,High
30.8,47.35,9.07,927.32,43.27,14.62,Rural,Morning,Medium
33.42,57.24,10.45,312.95,46.53,23.82,Rural,Evening,Low
33.27,66.56,8.28,898.9,78.94,19.59,Rural,Evening,High
21.11,90.0,8.0,812.9,63.47,29.96,Rural,Morning,Medium
23.31,67.41,13.98,881.93,69.16,16.15,Urban,Afternoon,Medium
30.58,72.4,15.58,847.78,50.94,25.9,Urban,Evening,Medium
30.57,47.41,0.46,835.83,22.01,16.92,Forest,Evening,Medium
30.58,39.61,8.05,1200.0,10.0,19.0,Rural,Afternoon,High
40.0,55.93,4.56,677.14,19.41,27.97,Urban,Morning,High
30.85,56.61,6.45,980.9,57.2,27.35,Rural,Afternoon,High
33.68,38.82,10.01,558.7,50.64,20.83,Urban,Evening,Medium
32.77,52.37,11.35,937.19,45.8,22.31,Urban,Morning,High
31.26,60.99,7.44,981.8,42.63,10.46,Forest,Afternoon,High
26.42,60.41,0.0,809.33,90.23,39.03,Rural,Afternoon,High
31.79,62.56,3.17,1200.0,33.54,31.87,Forest,Morning,High
24.14,59.36,12.48,434.72,68.56,31.51,Forest,Evening,Medium
26.82,47.39,0.0,553.83,50.04,9.05,Forest,Morning,Medium
25.57,47.29,13.94,763.71,48.78,19.05,Forest,Morning,Medium
28.41,37.02,10.61,964.24,73.53,21.65,Forest,Evening,Medium
39.57,81.77,14.58,753.83,79.25,5.69,Forest,Afternoon,High
18.66,55.2,7.01,1085.73,45.21,33.9,Forest,Morning,Medium
31.43,51.63,0.0,501.49,65.98,39.54,Rural,Morning,High
19.94,41.07,10.15,357.83,57.28,45.62,Forest,Afternoon,Medium
25.64,90.0,14.37,792.44,50.15,14.54,Rural,Evening,Low
33.44,38.9,12.62,676.85,54.09,26.17,Rural,Afternoon,Medium
28.32,48.57,4.69,862.86,36.24,38.23,Urban,Afternoon,Medium
22.61,61.24,8.43,691.78,43.88,22.46,Forest,Morning,Medium
24.42,64.0,5.34,597.99,38.39,19.33,Rural,Morning,Medium
31.4,69.37,3.9,677.52,68.03,6.34,Urban,Evening,Medium
24.35,82.11,12.78,708.65,48.1,36.33,Urban,Morning,Medium
29.08,62.59,2.01,608.51,24.05,24.81,Forest,Afternoon,Medium
28.23,39.16,3.53,639.06,35.53,17.71,Forest,Afternoon,Medium
24.74,51.15,2.48,578.92,10.0,27.84,Forest,Evening,Medium
38.72,59.62,0.55,957.0,40.11,26.53,Forest,Morning,High
31.17,86.02,8.73,758.21,50.75,26.68,Rural,Morning,High
17.87,34.03,13.81,1200.0,47.28,22.83,Rural,Evening,Medium
28.93,73.04,7.08,748.21,89.6,41.22,Forest,Evening,Medium
24.69,57.7,0.47,534.74,61.5,23.66,Forest,Morning,Medium
32.26,67.57,12.2,1200.0,60.61,41.19,Rural,Evening,Medium
24.04,53.47,16.43,824.09,17.13,30.64,Forest,Afternoon,Medium
27.43,42.36,4.77,997.04,42.71,28.51,Urban,Evening,Medium
30.52,66.26,5.61,877.63,40.27,23.87,Rural,Afternoon,High
32.33,64.82,10.58,886.9,34.28,34.74,Urban,Afternoon,Medium
22.0,69.58,16.11,860.7,34.0,26.13,Urban,Afternoon,Low
26.33,54.8,5.4,369.37,13.84,15.68,Urban,Morning,Low
25.63,46.0,1.34,810.26,24.48,15.35,Urban,Afternoon,Medium
24.73,31.62,11.16,302.54,67.48,29.22,Forest,Evening,Low
36.83,67.29,12.0,647.69,47.14,15.93,Forest,Afternoon,High
30.02,61.36,8.03,482.31,39.87,24.38,Forest,Morning,Medium
21.7,40.51,5.21,807.24,49.89,35.57,Forest,Morning,Medium
32.59,46.92,12.97,800.24,73.35,28.04,Rural,Morning,High
38.61,48.0,10.64,844.34,50.08,17.78,Forest,Morning,High
33.16,32.76,4.16,786.19,60.81,39.1,Rural,Evening,High
20.4,42.73,8.25,517.95,33.07,30.48,Urban,Morning,Medium
25.58,37.99,1.24,621.7,37.63,35.18,Rural,Evening,Medium
34.33,48.81,11.43,976.12,57.08,2.32,Forest,Morning,High
24.46,43.92,6.69,1020.36,87.85,28.31,Urban,Morning,High
30.22,30.59,5.82,355.97,78.6,33.42,Urban,Evening,Medium
31.87,85.34,7.84,240.72,61.66,42.0,Forest,Afternoon,Medium
23.37,73.79,8.2,481.93,53.03,10.36,Urban,Evening,Low
27.7,43.31,12.47,1013.56,78.02,37.06,Urban,Afternoon,High
11.79,59.09,10.96,1064.47,65.89,41.44,Urban,Evening,Low
22.88,61.26,7.22,422.59,10.0,4.83,Rural,Afternoon,Low
26.74,72.87,11.82,792.19,28.92,29.79,Urban,Morning,Medium
21.76,42.72,10.0,1200.0,56.76,31.18,Urban,Afternoon,Medium
36.16,71.38,5.87,824.59,14.26,21.73,Rural,Afternoon,Medium
20.85,46.78,7.38,1126.45,32.05,20.1,Forest,Morning,Medium
25.8,34.96,7.26,999.62,36.0,31.68,Rural,Morning,High
28.65,65.86,10.53,426.94,44.88,18.85,Rural,Afternoon,Low
35.21,74.36,6.16,643.01,44.25,22.83,Forest,Afternoon,Medium
20.82,90.0,6.05,710.43,44.22,33.12,Forest,Evening,Medium
33.82,37.0,17.84,731.24,66.51,42.54,Rural,Morning,High
28.05,65.48,12.7,974.9,44.7,30.38,Urban,Morning,Medium
23.09,48.85,4.2,822.61,42.31,26.33,Forest,Morning,High
30.31,66.75,10.85,100.0,23.02,19.84,Urban,Evening,Low
29.0,32.94,8.59,306.15,70.49,14.89,Forest,Evening,Medium
25.0,36.06,9.96,100.0,36.57,36.1,Urban,Afternoon,Low
28.35,43.36,8.69,752.61,28.26,23.47,Rural,Evening,Medium
26.07,56.18,13.95,772.15,54.26,36.51,Rural,Evening,Low
28.57,45.38,9.73,784.97,34.66,21.7,Rural,Evening,Medium
31.31,64.89,7.69,412.32,39.48,18.51,Rural,Morning,Medium
35.93,70.4,13.21,902.24,55.17,29.21,Forest,Afternoon,High
21.81,63.99,9.17,914.88,43.47,24.23,Rural,Evening,Medium
38.67,79.28,8.61,323.46,96.23,12.94,Urban,Evening,Medium
18.24,61.24,9.57,260.19,48.5,43.17,Rural,Evening,Low
27.24,36.75,7.53,699.96,62.36,18.73,Rural,Morning,Medium
30.94,75.45,8.05,1200.0,11.17,34.28,Rural,Afternoon,High
29.4,45.92,5.07,1200.0,32.79,33.42,Rural,Afternoon,High
24.89,68.66,4.24,869.02,28.26,12.41,Forest,Evening,Medium
26.96,78.61,3.01,481.0,30.91,14.98,Forest,Afternoon,Medium
25.53,61.85,1.04,966.05,58.31,21.98,Forest,Morning,High
25.05,32.56,3.6,564.27,70.71,16.34,Urban,Evening,Medium
32.25,41.23,7.13,469.75,56.89,42.26,Urban,Afternoon,Medium
29.79,74.84,8.52,100.0,45.47,23.0,Rural,Evening,Low
24.54,52.46,6.64,730.71,37.38,33.9,Urban,Morning,Medium
32.5,56.19,0.0,511.04,72.27,30.14,Urban,Evening,Medium
29.54,66.38,15.87,728.93,91.43,27.64,Urban,Morning,Medium
32.06,65.44,13.43,100.0,52.7,25.4,Urban,Evening,Low
31.15,59.18,10.23,750.95,68.79,37.37,Forest,Evening,Medium
23.86,51.87,17.54,100.0,56.87,16.75,Forest,Afternoon,Medium
25.2,50.31,3.11,1026.38,65.11,42.26,Urban,Afternoon,High
31.74,67.87,17.44,856.57,26.71,12.13,Urban,Morning,Medium
31.05,63.3,3.17,616.4,40.24,32.82,Forest,Morning,High
27.9,51.14,9.19,868.82,57.91,10.95,Rural,Morning,Medium
28.59,71.23,1.63,406.58,74.25,21.84,Forest,Afternoon,Medium
34.39,53.06,8.07,721.71,33.64,25.93,Urban,Evening,Medium
25.04,42.23,9.93,938.43,10.0,20.13,Urban,Morning,Medium
30.74,43.62,7.23,100.0,40.03,23.18,Urban,Evening,Low
26.99,40.32,11.57,565.83,70.2,11.13,Forest,Evening,Medium
26.91,50.91,8.5,693.21,18.32,15.13,Urban,Afternoon,Medium
33.49,73.51,5.39,641.11,26.46,29.98,Forest,Afternoon,High
32.13,42.92,5.17,1137.13,53.12,25.3,Rural,Evening,Medium
32.07,57.83,12.05,362.83,47.68,18.09,Urban,Morning,Medium
34.53,45.15,4.73,513.65,61.89,38.24,Urban,Afternoon,High
28.11,51.1,12.58,125.24,25.43,12.8,Rural,Evening,Low
31.41,32.35,14.11,1153.09,43.5,21.38,Forest,Afternoon,High
26.45,51.69,0.0,626.11,73.9,19.94,Urban,Evening,Medium
29.62,52.09,13.66,568.48,26.14,31.15,Urban,Afternoon,Medium
27.35,63.1,18.3,684.26,79.54,25.48,Urban,Morning,Medium
28.48,58.35,9.26,890.87,28.65,23.92,Urban,Morning,Medium
30.98,37.02,11.0,804.21,66.99,6.56,Rural,Afternoon,Medium
23.91,71.26,13.19,1200.0,42.54,33.65,Forest,Afternoon,Medium
38.46,58.15,6.62,836.18,27.1,22.82,Rural,Afternoon,High
22.97,57.98,8.91,560.43,40.06,26.16,Forest,Morning,Medium
21.93,54.86,1.43,531.59,60.9,17.51,Rural,Afternoon,Medium
33.79,47.23,8.69,582.17,49.86,15.94,Rural,Morning,High
31.96,58.27,10.49,249.45,72.37,39.99,Forest,Afternoon,Medium
31.12,62.13,10.58,711.96,78.71,7.27,Urban,Afternoon,Medium
31.14,28.8,13.33,935.04,26.34,14.46,Urban,Evening,Medium
27.94,46.92,4.13,515.99,24.87,39.8,Rural,Morning,Medium
23.51,51.18,5.34,457.79,23.9,31.41,Rural,Afternoon,Medium
28.38,58.84,17.48,1154.78,32.02,21.75,Rural,Morning,Medium
24.61,72.9,7.25,272.06,72.08,37.47,Urban,Evening,Low
32.88,43.42,9.0,100.0,61.21,29.47,Forest,Morning,High
27.26,47.53,7.66,354.13,39.1,27.33,Urban,Morning,Medium
23.87,47.31,3.89,237.87,49.78,27.26,Rural,Morning,Medium
26.39,42.98,16.12,815.87,78.09,29.65,Urban,Morning,Medium
30.06,49.79,5.36,591.79,88.16,30.06,Urban,Morning,High
25.18,66.56,2.36,634.09,55.19,46.96,Urban,Morning,Medium
23.89,39.19,5.75,1045.88,10.0,23.05,Forest,Morning,High
29.22,61.42,0.0,492.6,55.95,23.36,Rural,Afternoon,Medium
29.22,29.47,4.74,932.53,68.69,12.63,Urban,Afternoon,High
25.47,46.58,3.16,1153.4,54.49,24.48,Urban,Morning,High
25.64,50.06,11.09,563.3,64.53,43.63,Rural,Morning,Medium
29.16,80.12,4.63,921.11,57.14,34.84,Urban,Afternoon,Medium
20.76,50.88,12.44,627.45,25.31,19.56,Urban,Evening,Low
20.96,21.98,14.99,977.23,32.28,25.3,Urban,Afternoon,Medium
24.41,25.02,11.91,228.55,43.58,12.04,Urban,Evening,Low
26.93,55.51,6.92,206.35,71.31,15.31,Rural,Morning,Medium
29.55,64.21,8.71,582.62,34.68,26.49,Urban,Morning,Medium
35.38,60.63,0.38,433.32,59.12,20.06,Forest,Afternoon,High
32.29,57.51,7.33,544.99,56.07,14.55,Urban,Afternoon,Medium
27.2,72.43,3.7,634.14,81.72,29.9,Forest,Afternoon,High
27.9,46.91,11.47,916.0,49.17,24.18,Rural,Morning,High
22.99,68.42,20.86,577.7,14.9,9.32,Urban,Afternoon,Low
27.91,30.52,10.5,452.84,62.94,4.25,Forest,Afternoon,Medium
26.56,41.43,0.0,594.55,92.76,19.3,Forest,Evening,High
29.61,27.89,6.19,469.26,64.25,9.12,Urban,Morning,Medium
23.86,50.88,8.61,419.8,34.25,6.31,Urban,Morning,Medium
30.6,54.31,8.44,216.09,28.36,36.29,Rural,Morning,Medium
35.66,56.71,4.35,720.84,30.94,24.02,Rural,Afternoon,High
27.46,55.93,9.23,529.39,90.07,22.35,Urban,Morning,Medium
30.01,41.09,1.79,989.88,43.45,23.12,Rural,Afternoon,High
31.45,52.15,3.28,265.78,36.75,13.62,Rural,Evening,Low
25.99,32.54,11.23,537.37,46.83,29.11,Rural,Morning,Medium
29.12,75.45,2.92,1200.0,43.66,23.69,Rural,Evening,Medium
28.06,50.45,10.69,418.12,81.35,17.43,Urban,Evening,Medium
28.49,47.67,1.15,629.04,29.71,18.92,Urban,Morning,Medium
24.13,78.83,16.82,335.25,73.61,12.73,Forest,Morning,Medium
28.12,36.37,4.13,295.47,52.44,20.94,Rural,Afternoon,Medium
30.49,38.12,6.88,1164.19,74.14,22.6,Urban,Evening,Medium
35.26,38.56,9.65,751.31,81.65,20.68,Forest,Evening,High
32.8,53.98,5.17,740.1,51.7,25.55,Rural,Afternoon,High
38.77,61.47,8.72,191.11,43.7,24.21,Forest,Morning,High
24.16,66.1,10.88,807.62,51.32,27.31,Rural,Evening,Medium
32.36,90.0,12.8,1047.23,48.1,34.43,Urban,Afternoon,Medium
28.92,21.26,11.96,1044.84,16.86,30.93,Forest,Evening,Medium
38.95,64.13,7.14,900.5,81.05,34.55,Urban,Evening,High
23.96,46.64,7.27,361.15,54.92,16.52,Rural,Afternoon,Medium
23.8,46.2,19.75,793.94,26.74,19.91,Rural,Evening,Low
25.0,45.7,12.75,900.28,10.0,31.54,Rural,Afternoon,Medium
17.38,41.37,3.39,161.67,10.0,31.71,Forest,Afternoon,Low
25.37,80.27,8.5,363.62,65.41,18.21,Forest,Evening,Medium
